,lat,lon
#MOB1/MOB5/DBM3,30.555917,-88.210799
#AZA5,33.453143,-112.188746
#PHX8,33.45707855,-112.2253997
#LAX5,33.8678573,-118.027476
#OAK5,37.52274876,-122.0143879
#ONT5/#XIX2,34.087217,-117.243551
#SMF5,38.3952498,-121.9527919
#COS5,38.815647,-104.761779
#DEN5/#HDE1,39.767183,-104.75573
#BDL5,41.495982,-72.761114
#JAX5,30.3851143,-81.7886309
#MCO1/MCO5,28.29209374,-81.66757847
#MIA5/#HMI1,25.7926024,-80.4104971
#ATL5,34.05164423,-84.61606159
#MGE5,34.156427,-83.63797916
#MDW5,41.54047068,-88.13097711
#MCI5,38.9212815,-94.78268286
#CVG9,39.0757007,-84.72095348
#AVP4/#DBA2,39.16946899,-76.70589014
#BWI5/#UMD1,39.2703646,-76.54803545
#BOS5,42.11356148,-71.09632255
#DTW5/#UMI1,42.159635,-83.238271
#MSP9,42.81838758,-85.55960837
#STL5,38.766888,-90.387102
#EWR5,40.57405629,-74.25758264
#PNE5,40.203116,-74.577913
#BUF5,42.9216794,-78.62462895
#LAS5/#HLS1,36.2632681,-115.0779449
#CLT1/#CLT5,35.391014,-80.7186896
#RDU5,35.922153,-78.833104
#CLE5/#HCE1,41.3113578,-81.4669415
#OKC5/#OKC9/#HOK1,35.4729886,-97.5170536
#PDX5,45.557632,-122.920433
#PIT5,40.4426088,-80.08352277
#BNA4/#BNA5,36.128423,-86.693565
#MEM5,35.0135409,-89.90792501
#DFW8,32.93967165,-97.02834113
#HOU1,29.999833,-95.302282
#SAT5,29.42087965,-98.59825475
#RIC5/#RIC9,37.7304332,-77.45658627
#BFI5,47.41755825,-122.2599311
#CAE1 ,33.906732,-81.043084
#CHA1 ,35.068324,-85.141219
